,Item,Category,Description,Price,Size,Crust,calories
96,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,199,Medium,New Hand Tossed,6
97,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,249,Medium,100% Wheat Thin Crust,5
98,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,298,Medium,Cheese Burst,10
99,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,239,Medium,Fresh Pan Pizza,7
100,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,99,Regular,New Hand Tossed,2
101,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,129,Regular,100% Wheat Thin Crust,1
102,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,174,Regular,Cheese Burst,6
103,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,129,Regular,Fresh Pan Pizza,3
104,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,539,Large,New Hand Tossed,9
105,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,339,Medium,New Hand Tossed,6
106,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,389,Medium,100% Wheat Thin Crust,5
107,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,438,Medium,Cheese Burst,10
108,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,379,Medium,Fresh Pan Pizza,7
109,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,189,Regular,New Hand Tossed,2
110,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,219,Regular,100% Wheat Thin Crust,1
111,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,264,Regular,Cheese Burst,6
112,Double Cheese Margherita,Veg Pizza,A classic delight loaded with extra 100% real mozzarella cheese,219,Regular,Fresh Pan Pizza,3
113,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",599,Large,New Hand Tossed,9
114,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",399,Medium,New Hand Tossed,6
115,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",449,Medium,100% Wheat Thin Crust,5
116,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",498,Medium,Cheese Burst,10
117,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",439,Medium,Fresh Pan Pizza,7
118,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",229,Regular,New Hand Tossed,2
119,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",259,Regular,100% Wheat Thin Crust,1
120,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",304,Regular,Cheese Burst,6
121,Farmhouse,Veg Pizza,"Delightful combination of onion, capsicum, tomato & grilled mushroom",259,Regular,Fresh Pan Pizza,3
122,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",599,Large,New Hand Tossed,9
123,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",399,Medium,New Hand Tossed,6
124,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",449,Medium,100% Wheat Thin Crust,5
125,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",498,Medium,Cheese Burst,10
126,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",439,Medium,Fresh Pan Pizza,7
127,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",229,Regular,New Hand Tossed,2
128,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",259,Regular,100% Wheat Thin Crust,1
129,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",304,Regular,Cheese Burst,6
130,Mexican Green Wave,Veg Pizza,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",259,Regular,Fresh Pan Pizza,3
131,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",699,Large,New Hand Tossed,9
132,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",459,Medium,New Hand Tossed,6
133,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",509,Medium,100% Wheat Thin Crust,5
134,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",558,Medium,Cheese Burst,10
135,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",499,Medium,Fresh Pan Pizza,7
136,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",249,Regular,New Hand Tossed,2
137,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",279,Regular,100% Wheat Thin Crust,1
138,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",324,Regular,Cheese Burst,6
139,Deluxe Veggie,Veg Pizza,"Veg delight - onion, capsicum, grilled mushroom, corn & paneer",279,Regular,Fresh Pan Pizza,3
140,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",699,Large,New Hand Tossed,9
141,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",459,Medium,New Hand Tossed,6
142,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",509,Medium,100% Wheat Thin Crust,5
143,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",558,Medium,Cheese Burst,10
144,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",499,Medium,Fresh Pan Pizza,7
145,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",249,Regular,New Hand Tossed,2
146,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",279,Regular,100% Wheat Thin Crust,1
147,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",324,Regular,Cheese Burst,6
148,Veg Extravaganza,Veg Pizza,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese",279,Regular,Fresh Pan Pizza,3
149,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",599,Large,New Hand Tossed,9
150,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",399,Medium,New Hand Tossed,6
151,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",449,Medium,100% Wheat Thin Crust,5
152,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",498,Medium,Cheese Burst,10
153,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",439,Medium,Fresh Pan Pizza,7
154,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",229,Regular,New Hand Tossed,2
155,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",259,Regular,100% Wheat Thin Crust,1
156,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",304,Regular,Cheese Burst,6
157,Veggie Paradise,Veg Pizza,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",259,Regular,Fresh Pan Pizza,3
158,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,499,Large,New Hand Tossed,9
159,Cheese n Corn,Veg Pizza,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,309,Medium,New Hand Tossed,6
